epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,11830,1.29896,1.16948,1.06458,0.61425,0.38381,0.40929,0.31347,1.20903,1.30045,1.0224,0.00992773,0.00992773,0.00992773
75,11989.6,1.2843,1.14136,1.06062,0.66837,0.36506,0.40723,0.3128,1.21736,1.30881,1.01953,0.00992674,0.00992674,0.00992674
76,12149.2,1.2968,1.15011,1.06061,0.64881,0.37416,0.42491,0.32275,1.22097,1.29167,1.02041,0.00992575,0.00992575,0.00992575
77,12308.6,1.28893,1.14423,1.05791,0.69284,0.36455,0.42861,0.32361,1.20784,1.27434,1.01879,0.00992476,0.00992476,0.00992476
78,12468.5,1.28281,1.13909,1.06025,0.60369,0.37573,0.42755,0.33516,1.22702,1.26983,1.02939,0.00992377,0.00992377,0.00992377
79,12630.7,1.27811,1.13427,1.05312,0.70043,0.36716,0.42287,0.32325,1.22202,1.28931,1.02778,0.00992278,0.00992278,0.00992278
80,12791.1,1.28131,1.14474,1.0548,0.58889,0.38819,0.42505,0.33359,1.21186,1.27816,1.01407,0.00992179,0.00992179,0.00992179
81,12951.4,1.28194,1.13125,1.05829,0.59583,0.41038,0.43452,0.33103,1.23256,1.27798,1.02466,0.0099208,0.0099208,0.0099208
82,13111.7,1.278,1.12982,1.05169,0.58076,0.40531,0.43011,0.32242,1.20292,1.29668,1.00946,0.00991981,0.00991981,0.00991981
83,13271.9,1.26814,1.1321,1.05072,0.61278,0.37315,0.41619,0.32383,1.22903,1.3113,1.01953,0.00991882,0.00991882,0.00991882
84,13432.5,1.26186,1.11585,1.05387,0.58027,0.43783,0.44912,0.34212,1.21923,1.2665,1.01028,0.00991783,0.00991783,0.00991783
85,13591.9,1.25777,1.09836,1.04847,0.5399,0.41941,0.44302,0.34116,1.21723,1.25248,1.0145,0.00991684,0.00991684,0.00991684
86,13751,1.26184,1.11056,1.04093,0.60415,0.37371,0.43655,0.33782,1.20566,1.25389,1.01789,0.00991585,0.00991585,0.00991585
87,13910.9,1.26798,1.10863,1.0489,0.61903,0.37749,0.42416,0.32586,1.21105,1.28904,1.01366,0.00991486,0.00991486,0.00991486
88,14069.8,1.26656,1.10267,1.04218,0.63195,0.38415,0.43517,0.3376,1.20661,1.24811,1.01408,0.00991387,0.00991387,0.00991387
89,14229.8,1.26697,1.10218,1.04158,0.57268,0.42179,0.45752,0.35172,1.20468,1.25373,1.0144,0.00991288,0.00991288,0.00991288
90,14389.9,1.26268,1.10198,1.04874,0.61293,0.38553,0.42968,0.33225,1.21023,1.29871,1.01057,0.00991189,0.00991189,0.00991189
91,14549.6,1.254,1.08814,1.04217,0.66367,0.38978,0.44588,0.35122,1.19071,1.23968,1.00882,0.0099109,0.0099109,0.0099109
92,14708.6,1.26034,1.10041,1.04128,0.59416,0.40712,0.42435,0.33113,1.20367,1.26379,1.01329,0.00990991,0.00990991,0.00990991
93,14868.5,1.24037,1.08113,1.0429,0.65649,0.38996,0.43878,0.34104,1.2044,1.28171,1.01669,0.00990892,0.00990892,0.00990892
94,15028,1.25782,1.08556,1.03707,0.53498,0.40633,0.43081,0.334,1.18137,1.23541,1.00573,0.00990793,0.00990793,0.00990793
95,15187.5,1.26243,1.08006,1.04191,0.52387,0.4012,0.43524,0.33443,1.19127,1.29379,1.00531,0.00990694,0.00990694,0.00990694
96,15347,1.2478,1.07878,1.04362,0.6997,0.37903,0.43678,0.3345,1.20221,1.29813,1.00561,0.00990595,0.00990595,0.00990595
97,15505.9,1.24443,1.08142,1.03864,0.6295,0.41107,0.43723,0.33491,1.20391,1.2802,1.0138,0.00990496,0.00990496,0.00990496
98,15666,1.24954,1.06679,1.03709,0.61099,0.38771,0.43724,0.33661,1.19667,1.31562,1.01055,0.00990397,0.00990397,0.00990397
99,15826.4,1.23783,1.05936,1.03469,0.57611,0.41842,0.43414,0.33652,1.20938,1.2463,1.01977,0.00990298,0.00990298,0.00990298
100,15987.9,1.25162,1.06268,1.03683,0.60668,0.40183,0.44183,0.33649,1.18978,1.24182,1.00674,0.00990199,0.00990199,0.00990199
101,16148.3,1.23743,1.06225,1.03897,0.60473,0.38279,0.44137,0.33465,1.19247,1.22675,1.0142,0.009901,0.009901,0.009901
102,16308.6,1.24609,1.06635,1.03999,0.64077,0.39712,0.45252,0.3494,1.19993,1.22561,1.0124,0.00990001,0.00990001,0.00990001
103,16469.2,1.23061,1.05188,1.0339,0.62775,0.39514,0.43697,0.34114,1.19307,1.24001,1.01011,0.00989902,0.00989902,0.00989902
104,16629.9,1.23871,1.05299,1.03442,0.60385,0.39406,0.42969,0.33234,1.18513,1.26088,1.01062,0.00989803,0.00989803,0.00989803
105,16790.5,1.24603,1.05619,1.03619,0.56057,0.41592,0.44331,0.34318,1.18855,1.21554,1.01099,0.00989704,0.00989704,0.00989704
106,16951.1,1.23139,1.03951,1.03008,0.66924,0.36826,0.44274,0.3428,1.19684,1.22682,1.01355,0.00989605,0.00989605,0.00989605
107,17110.7,1.22401,1.0323,1.02912,0.66467,0.3921,0.43861,0.33942,1.2025,1.23078,1.01193,0.00989506,0.00989506,0.00989506
108,17270.4,1.23981,1.05266,1.03217,0.61262,0.40624,0.45766,0.35905,1.17886,1.22803,1.00515,0.00989407,0.00989407,0.00989407
109,17429.9,1.22646,1.0266,1.03109,0.61447,0.40083,0.44728,0.34976,1.19705,1.22527,1.00543,0.00989308,0.00989308,0.00989308
110,17590,1.22321,1.03296,1.02993,0.6414,0.40273,0.44743,0.34434,1.19194,1.22257,1.00668,0.00989209,0.00989209,0.00989209
111,17750.5,1.22827,1.03218,1.0282,0.5974,0.40224,0.44528,0.3451,1.17857,1.23214,1.00436,0.0098911,0.0098911,0.0098911
112,17911,1.23471,1.03985,1.02719,0.66372,0.38726,0.44095,0.3398,1.17298,1.21816,1.00184,0.00989011,0.00989011,0.00989011
113,18070.8,1.22905,1.02718,1.02854,0.62151,0.41131,0.44726,0.34515,1.17523,1.22635,1.00354,0.00988912,0.00988912,0.00988912
114,18231,1.22944,1.03004,1.03075,0.59555,0.3962,0.44251,0.34276,1.16706,1.23788,1.00084,0.00988813,0.00988813,0.00988813
115,18391.1,1.232,1.02663,1.0269,0.59039,0.41568,0.44525,0.34367,1.17132,1.21713,0.99465,0.00988714,0.00988714,0.00988714
116,18551.4,1.21942,1.02345,1.02564,0.51322,0.4033,0.42827,0.33194,1.19369,1.27602,1.00164,0.00988615,0.00988615,0.00988615
117,18711.3,1.2203,1.02638,1.02405,0.51571,0.41843,0.42146,0.33033,1.19261,1.25729,1.00111,0.00988516,0.00988516,0.00988516
118,18871.1,1.21092,1.00333,1.01951,0.56998,0.3923,0.44402,0.34482,1.18476,1.23257,1.0004,0.00988417,0.00988417,0.00988417
119,19030.7,1.21804,1.00669,1.02208,0.61967,0.36967,0.42279,0.32802,1.18007,1.24022,1.00123,0.00988318,0.00988318,0.00988318
